编号,名称,类别,链接,,
[72],TaskBench,学术界论文,https://proceedings.neurips.cc/paper_files/paper/2024/file/085185ea97db31ae6dcac7497616fd3e-Paper-Datasets_and_Benchmarks_Track.pdf,,
[73],WTU-Eval,学术界论文,https://ieeexplore.ieee.org/document/10889153/,,
[74],API-BLEND,学术界论文,https://aclanthology.org/2024.acl-long.694/,,
[75],Seal-Tools,学术界论文,https://arxiv.org/abs/2405.08355,,
[76],GeoLLM-QA,学术界论文,https://arxiv.org/abs/2405.00709,,
[77],T-Eval,学术界论文,https://aclanthology.org/2024.acl-long.515/,,
[78],UltraTool,学术界论文,https://aclanthology.org/2024.findings-acl.259/,,
[79],ToolEyes,学术界论文,https://aclanthology.org/2025.coling-main.12/,,
[80],CToolEval,学术界论文,https://aclanthology.org/2024.findings-acl.928/,,
[81],AppWorld,学术界论文,https://aclanthology.org/2024.acl-long.850/,,
[82],API-Bank,学术界论文,https://aclanthology.org/2023.emnlp-main.187/,,
[83],RoTBench,学术界论文,https://aclanthology.org/2024.emnlp-main.19,,
[84],ToolSword,学术界论文,https://aclanthology.org/2024.acl-long.119,,
[85],ToolEmu,学术界论文,https://openreview.net/forum?id=GEcwtMk1uA,,
[86],ToolLens,学术界论文,https://dl.acm.org/doi/10.1145/3627673.3679847,,
[87],m&m's,学术界论文,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/01486.pdf,,
[88],VIoTGPT,学术界论文,https://ojs.aaai.org/index.php/AAAI/article/view/33160,,
[89],BFCL,学术界论文,https://icml.cc/virtual/2025/poster/46593,,
[90],ComplexFuncBench,学术界论文,https://arxiv.org/abs/2501.10132,,
[91],MCP-Universe,学术界论文,https://arxiv.org/abs/2508.14704,,
[92],LiveMCPBench,学术界论文,https://arxiv.org/abs/2508.01780,,
[93],NexusRaven-V2,业界产品,https://nexusflow.ai/blogs/ravenv2,,
[94],WTQ,学术界论文,https://aclanthology.org/P15-1142/,,
[95],OpenCodeInstruct,学术界论文,https://arxiv.org/abs/2504.04030,,
[96],Spider,学术界论文,https://aclanthology.org/D18-1425/,,
[97],ChatGPT for Robotics,学术界论文,https://ieeexplore.ieee.org/document/10500490,,
[98],ROUGE,学术界论文,https://aclanthology.org/W04-1013/,,
[99],Artificial Analysis,业界产品,https://artificialanalysis.ai/?intelligence-tab=coding&intelligence=artificial-analysis-intelligence-index,,
[100],Access control for trusted data sharing,学术界论文,https://eurasipjournals.springeropen.com/articles/10.1186/s13635-024-00178-z,,
[101],SafeToolBench,学术界论文,https://aclanthology.org/2025.findings-emnlp.958/,,
[102],ClickAgent,学术界论文,https://aclanthology.org/2025.sigdial-1.38/,,
[103],Gemini Live,业界产品,https://gemini.google/overview/gemini-live/,,
[104],DeepSeek-R1,学术界论文,https://arxiv.org/abs/2501.12948,,
[105],Agent Models,学术界论文,https://arxiv.org/abs/2503.06580,,
[106],ReasonGraph,学术界论文,https://aclanthology.org/2025.acl-demo.14/,,
[107],Claude can now use tools,业界产品,https://www.claude.com/blog/tool-use-ga,,
[108],Computer-using Agent,业界产品,https://openai.com/zh-Hans-CN/index/computer-using-agent/,,
[109],MMedAgent,学术界论文,https://aclanthology.org/2024.findings-emnlp.510/,,
[110],ChatLaw,学术界论文,https://arxiv.org/abs/2306.16092,,
[111],FinRobot,学术界论文,https://dl.acm.org/doi/10.1145/3677052.3698645,,
[112],Equipping language models with tool use capability for tabular data analysis in finance,学术界论文,https://aclanthology.org/2024.eacl-short.10/,,
